tweet, category
"Packers’ personnel man Eliot Wolf, who is in Cleveland interviewing with GM John Dorsey today, also has an offer to join Reggie McKenzie/Jon Gruden in Oakland, per @RobDemovsky.", 
"Raiders’ owner Mark Davis at the press conference now on ESPN about the hiring of HC Jon Gruden: “This is a big f'in deal.”", 
"After finishing his Giants’ HC interview, Panthers’ DC Steve Wilks is traveling to Arizona to interview for Cardinals’ HC job, per source.", 
"Even though Chargers’ DC Gus Bradley’s contract expired today, Packers have requested permission to interview him for their DC job, per league source. Seahawks also interested, as are others.", 
"Panthers fired offensive coordinator Mike Shula and QB coach Ken Dorsey, and also poised to lose DC Steve Wilks, who’s interviewing for Giants’ HC job today. Changes in Carolina.", 
"On this week’s podcast, ask your football and non-football questions using #AskAdam. Please tweet them to us. Then download the show to see if your question made the cut.", 
"Nick Saban won his 6th national championship as a head coach, tied with Bear Bryant for most in poll era. Saban won his 6th title in his 22nd season as an FBS head coach; Bryant won his 6th title in his 35th season.", 
"49ers announced they have named Ken Norton Jr. assistant head coach - defense/inside linebackers. Johnny Holland also will become the team’s run game specialist/outside linebackers coach.", 
"Former Browns’ HC Mike Pettine is scheduled to interview for Packers’ defensive coordinator job Tuesday, per league source.", 
"Bengals officially announced the hire of Teryl Austin as their defensive coordinator.", 
"Steelers WR Antonio Brown back at practice today for first time in over three weeks, plans to play Sunday vs. Jaguars:\n\nhttps://t.co/hOxdMLHEOI", 
"A closer look at new Bears’ HC Matt Nagy, via the @chiefs.\n\nhttps://t.co/tgYCo48l9Q https://t.co/Xq5CS5NRON", 
"Four more HC openings to go: Cardinals, Lions, Colts, Giants. https://t.co/7BltCUoAUS", 
"Former Chiefs’ OC Matt Nagy is being hired as the head coach of the Chicago Bears, as @adamjahns said. HC dominos start to fall.", 
"NFL official said league is “looking into” allegations that Bills’ G Richie Incognito directed a racial slur at Jaguars’ DE Yannick Ngakoue.", 
"Chiefs' DL Chris Jones tore his MCL on Saturday, will undergo surgery and recovery time expected to be 8-10 weeks, per source.", 
"Divisional Round a battle of QBs with playoff experience vs QBs without it. Remaining QBs and their postseason starts:\n\nQB               \nMariota     1\nBrady       34\n \nBortles                 1\nRoethlisberger 20\n \nRyan        9\nFoles        1\n \nBrees         12\nKeenum     0", 
"Divisional Playoff Weekend:\n\nFalcons at Eagles, Saturday 4:35 pm.\n\nTitans at Patriots, Saturday 8:15 pm.\n\nJaguars at Steelers, Sunday 1:05 pm.\n\nSaints at Vikings, Sunday 4:40 pm.", 
"Panthers now officially for sale.", 
"Falcons opened as a 2.5-point favorite over Eagles, marking first time that a No. 1 seed will be an underdog in its first playoff game, according to ESPN Stats &amp; Information. \n\nhttps://t.co/BaXSSoEjAs", 
"Jacksonville and Buffalo’s 13 combined points were fewest ever in an NFL wild-card game, beating the 49ers’ 14-0 wild-card win over Eagles in 1996.", 
"Tennessee at New England, Saturday 8:15 pm.\n\nJacksonville at Pittsburgh, Sunday 1:05 pm.", 
"With Packers’ director of player personnel Brian Gutekunst becoming Green Bay’s GM with a 5-year deal, Bills VP of player personnel Brian Gaine becomes the favorite for Houston’s GM, per sources.", 
"Packers are hiring Brian Gutekunst as their GM, as @McClain_on_NFL said. A 5-year deal for Gutekunst.", 
"Titans’ owner announces HC Mike Mularkey will return for 2018 season: https://t.co/6gRCjM1MOP", 
"Bills inactives today: Conor McDermott, John Miller, Khari Lee, Brandon Reilly, Malachi Dupre, Matt Milano, Shareece Wright.\n\nBills active: LeSean McCoy.", 
"Since week 13, Jacksonville’s undrafted rookie free agent WR Keelan Cole has the most receiving yards in the NFL.", 
"Bills fans come up big to thank Bengals’ QB Andy Dalton #BillsMafia\n\nhttps://t.co/QkItydDrO2 https://t.co/NjHbMtNrKz", 
"The time Derek Carr went through Jon Gruden's QB Camp in 2014:\n\nhttps://t.co/tOnetGcNrM https://t.co/K8rZcvxvPA", 
"Win or lose today, Panthers’ DC Steve Wilks likely to interview Monday for Giants’ HC, per source. A Panthers’ win or loss today will determine how many HC interviews Wilks takes this week.", 
"Vikings’ QB Case Keenum could join Pat Shurmur if Minnesota’s OC hired by QB-needy team:\n\nhttps://t.co/ulBepBfKAZ", 
"Patriots reject Texans' request to interview two top executives for Houston’s GM job, but it might not be... https://t.co/kwALPXjOcU", 
"Falcons at Eagles.\n\nFalcons’ QB Mattt Ryan returns to Philadelphia, where he attended William Penn Charter.", 
"Before tonight, Falcons’ OC Steve Sarkisian last coached at LA Coliseum, Oct. 8, 2015, a 17-12 loss to Washington. Four days later, he was fired as USC HC. Between then and now, he called plays for Bama in last year’s College Football title game and plays tonight in upset over LA", 
"For those who needed to see it to believe it: https://t.co/Nikfg4W1bX", 
"Oakland announced Jon Gruden officially has returned to the Raiders. Officially official.", 
"Ummm.... https://t.co/EBV0WojpNQ", 
"Bills’ RB LeSean McCoy, questionable for Sunday’s wild card game vs Jaguars with a sprained ankle, is likely to play, per source.", 
"Makes little sense: Chiefs now have lost an NFL record six straight home postseason games, with their last playoff win in Kansas City coming Jan. 8, 1994, when Joe Montana led them to victory.", 
"Browns’ fans held parade today to mark their 0-16 season:\n\nhttps://t.co/mYjgtAgWGy", 
"While in New England today, Cardinals also interviewing Patriots’ DC Matt Patricia for their HC job, per source.", 
"Former Packers’ OC Joe Philbin, who left Green Bay in 2012 to become the Miami Dolphins’ HC, is expected to rejoin Mike McCarthy’s staff, sources told @RobDemovsky.", 
"In a season of the rookie RB, wild-card weekend is a continuation of it: Kareem Hunt, Leonard Fournette, Christian McCaffrey, Alvin Kamara. Rookies RBs loom large today and Sunday.", 
"Patriots’ LBs coach Brian Flores is interviewing today for the Arizona Cardinals’ HC job, per source.", 
"Postseason NFL Countdown now on ESPN.", 
"Packers requested permission to interview Raiders’ GM Reggie McKenzie for their GM job, but McKenzie declined the request from his former employer and is expected to remain as Jon Gruden’s GM, per source.", 
"Rams host Falcons tonight in first NFL playoff game played in LA since Jan. 9, 1994, when Raiders hosted Broncos at Los Angeles Memorial Coliseum. Rams had largest scoring increase in NFL from last season (+15.9 PPG) while Falcons had largest decrease (-11.7 PPG).", 
"Chiefs host Titans (4:20 ET on ESPN/ABC). Kansas City hasn’t won a home playoff game since Jan. 8, 1994 against the Steelers, a game Joe Montana started. Since then, the Chiefs have lost five straight home playoff games, the longest streak in NFL postseason history.", 
"Giants have completed their interview with Patriots OC Josh McDaniels.", 
"Rams’ halftime entertainment for Saturday’s wild-card game vs. Falcons: https://t.co/6mxToA7pin", 
"Longest contracts given to NFL head coaches:\n\nTom Landry with Cowboys in 1964 (10 years).\n\nJimmy Johnson with Cowboys in 1989 (10 years).\n\nJon Gruden with Raiders in 2018 (10 years).", 
"Ravens hired former Bengals’ WR coach James Urban as their quarterbacks coach, and also promoted Greg Roman to assistant head coach.", 
"Giants interviewed Patriots DC Matt Patricia for their HC job today; also expected to interview Patriots OC Josh McDaniels while in Foxboro.", 
"Raiders are giving new head coach Jon Gruden a 10-year contract, the longest coaching deal in NFL history, sources tell ESPN. The deal is likely to be worth about $100 million.", 
"Last time Jon Gruden coached a game for the Raiders was Jan. 19, 2002, when New England beat Oakland 16-13 in the infamous Snow Bowl and Tuck Rule Game.", 
"NFL has closed its investigation into Vikings CB Tramaine Brock and will not take action, per source. Brock will be a free agent this winter. https://t.co/RssGPIDWOB", 
"Raiders are calling a significant press conference for Tuesday at which time they will introduce Jon Gruden as their next head coach, as @CorkOnTheNFL reported.", 
"Patriots say Robert Kraft, Bill Belichick and Tom Brady stand united:\n\nhttps://t.co/gbFKljnGZT", 
"Von Miller named Week 17 NFLPA Community MVP for donating 2,013 eyeglass frames to kids in need through the Anchor Center for Blind Children in Denver.", 
"Packers requested permission to interview Vikings asst GM George Paton for their GM job, per source. Vikings declined request.", 
"Leonard Fournette buys Jaguars' offensive linemen Rolex watches for helping him rush for 1,040 yards:\n\nhttps://t.co/eVXp94Fl5c", 
"Steelers LB Ryan Shazier has regained feeling in his legs, according to WPXI.\n\nhttps://t.co/YlA5wqNHpy", 
"Former Bears’ OC Dowell Loggains is being hired as Dolphins’ offensive coordinator, per source.\n\nDolphins’ former OC Clyde Christensen likely to remain with team, transitioning to another role.", 
"So NFL Draft now has Sam Darnold and Josh Rosen, who could wind up as the draft’s top top two picks. A QB for Cleveland, a QB for NYG.", 
"Other LA QB also turning pro.... https://t.co/YbN5AmWiHj", 
"USC QB Sam Darnold has declared for 2018 NFL Draft:\n\nhttps://t.co/gqwxDci5Eo", 
"Edgar Bennett is out as Packers’ offensive coordinaor and Alex Van Pelt is out as Packers’ QB coach, per @RobDemovsky and @mortreport.", 
"First to report.... https://t.co/Z2ZJT3AAJ4", 
"Cowboys’ special teams coordinator Rich Bisaccia will be allowed to leave Dallas despite being under contract for two more seasons, likely to join Jon Gruden with the Oakland Raiders, as @toddarcher reported.", 
"Giants submitted request to interview Eagles' DC Jim Schwartz for their HC job, and the interview is expected to occur this weekend in Philadelphia, per sources.", 
"Packers expected to start their GM interviews Thursday, and in-house candidates Russ Ball, Eliot Wolf and Brian Gutekunst expected to be amongst first candidates interviewed, per source. Team would like to wrap up its search next week.", 
"NFL coaching candidates we'd hire: 45 ESPN analysts rank their choices.\n\nhttps://t.co/Z5ZieQ0zwI https://t.co/cSe7zy27IG", 
"#KnowThemFromAdam\n\nTen years later, Tedy Bruschi recalls the Patriots’ quest for the perfect season:... https://t.co/4rPqudTyuA", 
"Titans’ DL Jurrell Casey, speaking about Jaguars QB Blake Bortles to 104.5 The Zone in Nashville: “As long as Bortles is back there, if the ballgame is in his hands, he’s going to choke.”", 
"Bengals are retaining offensive coordinator Bill Lazor, signing him to a new contract.", 
"#KnowThemFromAdam\n\nTen years later, Tedy Bruschi recalls the Patriots’ quest for the perfect season:\n\nhttps://t.co/bi2v5THky1", 
"Ray Lewis, Randy Moss, Brian Urlacher among 2018 Hall of Fame finalists:\n\nhttps://t.co/DYzh0JWKl2", 
"Lions completed their second HC interview today, this one with offensive coordinator Jim Bob Cooter.", 
"Carson Palmer’s retirement letter: https://t.co/mOuQG5OJUV", 
"Carson Palmer retired.", 
"Bengals signed head coach Marvin Lewis to a two-year contract through the 2019 season.", 
"Buffalo thanks Cincinnati; Cincinnati thanks Buffalo. https://t.co/LKNeyiGF3f", 
"New York Giants put in a request to interview Minnesota Vikings offensive coordinator Pat Shurmur, per @JordanRaanan.", 
"Lions’ defensive coordinator Teryl Austin now has completed his interview for the team’s HC job today.", 
"Packers have given HC Mike McCarthy a one-year extension through 2019 season, per @RobDemovsky.", 
"After weeks recovering from a knee injury, Vikings QB Sam Bradford is returning to practice today.", 
"Bills’ RB LeSean McCoy, nursing a sprained ankle, is expected to be a “game-time decision” and a “close call” for Sunday’s playoff game against Jacksonville, according to a source.", 
"Bears gave GM Ryan Pace a contract extension through 2021 season.", 
"Last time Jimmy Garoppolo lost a start was December 14, 2013, in the FCS quarterfinals, against the Towson Tigers.", 
"Cardinals submitted requests to interview Patriots’ DC Matt Patricia and Patriots’ LB coach Brian Flores for their HC job, per source - two levels of New England defensive coaches.", 
"Cardinals submitted requests to interview Patriots’ DC Matt Patricia and Patriots’ LB coach Brian Flores, per source - two levels of New England defensive coaches.", 
"Cardinals and Bears both submitted requests to interview Eagles’ QB coach John DeFilippo for their HC job, per source.", 
"Cardinals’ HC Bruce Arians officially retires at a news conference in which he is emotional.", 
"Giants’ GM Dave Gettleman informed team’s assistant coaches today that they are free to look for other jobs without the Giants blocking them, per source. So Giants’ assistants now free to go.", 
"Houston's Rick Smith is retaining his Executive VP title with the Texans, and intends to come back after he assists his wife and family.", 
"Broncos’ HC Vance Joseph has been informed he will return to Denver as the team’s HC for 2018 season, per source.", 
"Colts have requested permission to interview Patriots OC Josh McDaniels for their HC job, per league source.", 
"Cardinals’ HC Bruce is expected to retire from coaching, per league sources. Leaving the game on his terms. Another HC vacancy expected.", 
"2018 NFL regular-season opponents for every team:\n\nhttps://t.co/iAb7uByOC3 https://t.co/gdAZIGAwin", 
"Lions now have submitted a request to interview Patriots DC Matt Patricia for their HC job, per source.", 
"Other interview requests will come in, but so far the only one that has been submitted for Matt Patricia and Josh McDaniels has been from the Giants.", 
"Giants now have submitted requests to interview Patriots’ DC Matt Patricia and OC Josh McDaniels for their HC job, per source. This could be Patricia’s landing spot.", 
"Bengals' DC Paul Guenther, whose contract is now up, is an enviable position: he is expected to be a leading candidate to become Jon Gruden's DC in Oakland or could be HC candidate in Cincinnati depending on how the Marvin Lewis situations unfolds, per league source.", 
"Busy morning for NFC North: Bears have parted ways with HC John Fox, Lions have parted ways with HC Jim Caldwell.", 
"Bears now have parted ways with HC John Fox.", 
"Lions have let go of HC Jim Caldwell.", 
"Broncos’ HC Vance Joseph confident he will return for next season, and the signs starting to point that way:\n\nhttps://t.co/zO994FI3FY", 
"Remembering Dan Rooney, Dick Enberg, Frank Deford, Frank Broyles, Cortez Kennedy, Don Baylor, Ara Parseghian, Mike Ilitch, Jake LaMotta, Rollie Massimino, Ed Garvey, Don Ohlmeyer, Joan Tisch, Jimmy Breslin, Todd Harris, Jerry Krause, Roy Halladay, Y.A. Tittle, Aaron Hernandez.", 
"NFL playoff schedule for next two weekends: https://t.co/302Xo9hqvp", 
"Patriots will host their divisional playoff game Saturday Jan. 13 at 8:15 pm.\n\nSteelers will host their divisional playoff game Sunday Jan. 14 at 1 pm.", 
"Jaguars’ HC Doug Marrone opted out of his contract in Buffalo after 2014 season. Now his playoff Jags face the playoff Bills in the wildcard.", 
"AFC wild-card matchups:\n\nBills at Jaguars (3).\n\nTitans at Chiefs (4).", 
"And if anyone had any doubts about Jon Gruden coming back....", 
"Jack Del Rio said Mark Davis has informed him he will no longer coach the Raiders.", 
"NFC wild-card round:\n\nFalcons (6) at Rams (3).\n\nPanthers (5) at Saints (4).", 
"Titans make playoffs.", 
"X-rays on Bills RB LeSean McCoy’s ankle were negative, per source.", 
"Colts’ official announcement: https://t.co/tu1kJiMNQu", 
"Colts have fired Chuck Pagano, as @ACwishtv first reported.", 
"Statement from Texans’ GM Rick Smith:\n\n“Effective immediately, I have chosen to take an extended leave of... https://t.co/WJlzQpfy7I", 
"Texans’ GM Rick Smith, who is taking leave effective immediately, has been tending to his wife, Tiffany, throughout this season, while she has been undergoing treatment in Arizona.", 
"Texans’ GM Rick Smith is taking an extended leave of absence to take care of his wife, Tiffany, who recently was diagnosed with breast cancer, per a team source.", 
"Browns make history, finish 0-16.", 
"Top 4 picks in April NFL draft:\n\n1. Browns\n2. Giants\n3. Colts\n4. Browns (via Texans)\n\nBrowns on the clock....", 
"Giants now have clinched the No. 2 overall draft pick.\n\n1. Browns\n2. Giants\n\nOnly other time they had the No. 2 pick in past 50 years, they drafted Lawrence Taylor.", 
"Afternoon inactives include Panthers RB Jonathan Stewart, Chiefs TE Travis Kelce, WR Tyreek Hill, Ravens’ WRs Jeremy Maclin and Breshad Perriman.", 
"Steelers’ inactives are a veritable Pro Bowl team:\n\nBen Roethlisberger\nLe'Veon Bell\nMaurkice Pouncey\nDavid DeCastro\nAntonio Brown\nCam Heyward\nCoty Sensabaugh.\n\nBrowns couldn’t ask for any more help....", 
"Eagles inactives: J.Ajayi, D.Barnett, N.Bradham, B.Graham, T.Jernigan, R.McLeod, J.Mills.", 
"Broncos’ HC Vance Joseph faces increasingly longer odds at being retained and returning for his second season in Denver, league sources tell ESPN.", 
"Bruce Arians is tied with Ken Whisenhunt for most wins in Cardinals’ franchise history (49). A win today in what is likely his last game with Arizona would make Arians the all-time winningest HC in Cardinals’ history.", 
"Ravens’ S Eric Weddle collects $1 million if he makes Pro Bowl on original ballot, which he already did, and Ravens make playoffs in same season. So a Ravens win today is worth $1 million for Weddle.", 
"Eagles' second-round pick Sidney Jones is expected to make his NFL debut today, playing about 25 or so plays, and even some on special teams, per source.", 
"Patriots’ RB James White, listed as questionable for today with an ankle injury, is not expected to play, per league source. Patriots RB Rex Burkhead (knee), RB Mike Gillislee (knee) also are out.", 
"For all the speculation in recent weeks and seasons, Texans are expected to retain HC Bill O’Brien, per sources:\n\nhttps://t.co/vXeI2OvWVJ", 
"Cardinals’ HC Bruce Arians is likely to step away from coaching, though he has not informed team of his plans yet, per sources:\n\nhttps://t.co/Up97nMKoNd", 
"Ravens defensive coordinator Dean Pees, one of the league’s top defensive minds, is expected to retire after this season, according to sources.\n\nhttps://t.co/rOlNzDCnPR", 
"Packers defensive coordinator Dom Capers, who has been with the team since 2009, is not expected to return to Green Bay next season, per league sources.", 
"Packers’ WR coach Luke Getsy will become Mississippi State’s offensive coordinator and wide receivers coach, per source.", 
"Dolphins’ backup quarterback David Fales is expected to play some today vs. Buffalo, per source, though it is uncertain exactly how much. But Dolphins will use Fales in relief of Jay Cutler.", 
"Raiders expected to pursue Jon Gruden, even possibly dangling an ownership stake. Much more ahead on ESPN’s Sunday NFL Countdown.\n\nhttps://t.co/A0U7LgV5VQ", 
"Eagles RB LeGarrette Blount, who has 729 rushing yards this season, has a $300,000 incentive for 750 rushing yards this season, per source. Blount needs 21 rushing yards Sunday for $300,000.", 
"Vikings WR Adam Thielen, who has 85 catches this season, has a $250,000 incentive for 90 catches this season, per source. Thielen needs five catches Sunday to collect an additional $250,000; he already has collected $750,000 for 80 catches this season.", 
"Raiders’ WR Seth Roberts, who has 38 catches this season, has a $150,000 bonus for 45 catches this season, per source. Needs seven catches today vs. Chargers for bonus.", 
"Raiders RB Marshawn Lynch, who has 790 rushing yards and seven rushing TDs this season, has a $600,000 bonus for 800 rushing yards this season and a $250,000 bonus for nine rushing TDs, per source. Lynch needs 10 rushing yards Sunday for $600,000 bonus and two rush TDs for $250K.", 
"Rams’ DL Michael Brockers, who has 4.5 sacks, earns a $125,000 bonus for 5.5 sacks this season, per source. Brockers needs one sack Sunday vs. 49ers for $125,000.", 
"Titans TE Delanie Walker earns a $500,000 incentive this season for going to the Pro Bowl and Tennessee making the playoffs, per source; Walker already has been voted to Pro Bowl, so if Tennessee goes to playoffs Sunday, Walker earns another half-million dollars.", 
"Dolphins DE Cameron Wake collects a $1 million incentive for 55 percent play time this season – and he’s at close to 60 percent and expected to clinch it Sunday vs. Buffalo, per source.", 
"Chargers' RB Melvin Gordon, listed as questionable for Sunday’s game vs Raiders due to ankle injury, will play, per league source.", 
"No surprise, but Indianapolis is expected to part ways with head coach Chuck Pagano, per sources.", 
"Raiders preparing to pursue Jon Gruden, per @mortreport and me.... https://t.co/A0U7LgV5VQ", 
"New Giants’ GM Dave Gettleman starts cleaning house:... https://t.co/U3rc2QSVAW", 
"Giants Gm Dave Gettleman dismissed Marc Ross, who had been with the team since 2007.", 
"Packers gave C Corey Linsley a 3-year, $25.5 million extension, per @RobDemovsky.", 
"Eagles have activated CB Sidney Jones to the 53-man roster.", 
"Packers have signed C Corey Linsley to a contract extension.", 
"USC QB Sam Darnold now will mull whether to turn pro or stay at school:... https://t.co/wBx9Ds2Tpk", 
"49ers’ free-agent-to-be Eric Reid believes teams could shun him over his protests.\n\nhttps://t.co/vZVCAELoXz", 
"More details on Davante Adams' new 4-year deal with the Packers: Deal is worth $58.75 million, including $18 million signing bonus and includes $32 million in the first two years, per source.", 
"Randall Cobb has one more year left on his 4-year, $40 million deal while Jordy Nelson has one more season on a 4-year, $39 million deal. One or both could be in danger of being released or having to take a pay cut this offseason, per @RobDemovsky.", 
"Packers are signing WR Davante Adams to a multi-year contract extension, per sources. Deal either will be for 4 or 5 years, at roughly $14 million per year. Adams was scheduled to be a free agent.", 
"Buccaneers' owners showing more patience than they have in other years by retaining Dirk Koetter as HC.", 
"Buccaneers' HC Dirk Koetter has been informed that the team plans to keep him for 2018, as @NFLSTROUD reported.", 
"Jets extended the contracts of general manager Mike Maccagnan and head coach Todd Bowles.", 
"New Giants GM Dave Gettleman: \"My plan is to come in here and kick ass.\"", 
"Dolphins RB Kenyan Drake named Week 16 NFLPA Community MVP for providing a night of holiday food and fun for 125 kids at a Boys &amp; Girls Club in Broward County, Florida.", 
"Fantasy winners give to Todd Gurley for giving to them:... https://t.co/UwWWStrRov", 
"Giants interviewed Dave Gettleman, Louis Riddick, Marc Ross and Kevin Abrams for their GM job. Many thought they’d interview more from other teams next week. Not now. Gettleman it is.", 
"Moved quick. https://t.co/iki6cQvoqB", 
"Saints signed defensive tackle Tony McDaniel and placed defensive tackle John Hughes III on Injured Reserve.", 
"Some Steelers criticize James Harrison for his Pittsburgh exit:\n\nhttps://t.co/wUZIfyrxv4", 
"And so that’s how the Giants’ season comes to an end, with the suspension of CB Eli Apple. Quite the year.", 
"Patrick Mahomes will start his first NFL game Sunday vs the Broncos.", 
"Texans QB signed QB Josh Johnson.", 
"Know Them From Adam\n\nBest Of 2017\n\nhttps://t.co/a7AmYB2kOM https://t.co/ltL4cY6m5y", 
"Know Them From Adam\n\nBest Of 2017\n\nhttps://t.co/a7AmYB2kOM", 
"MRI revealed that Titans’ RB DeMarco Murray has a 3rd degree MCL tear, per source. Murray believes he can play through it Sunday.", 
"James Harrison officially a Patriot: https://t.co/g4ySBDJUVq", 
"One of the top free-agent CBs this offseason. https://t.co/OqVufVxjui", 
"Former Steelers' LB James Harrison is signing with the New England Patriots, per @FieldYates.\n\nCould lead to potential matchup of Harrison vs. Steelers in postseason.", 
"Ravens CB Jaylen Hill tore his ACL and MCL.", 
"Updated Week 17 Playoff Scenarios, via @RLiuNFL: https://t.co/XrZN3hhgb1", 
"Wasn’t pretty, but for Philadelphia, this sentence is: Eagles clinch No. 1 seed and homefield advantage through the playoffs.\n\nNFC road to the Super Bowl goes through Philadelphia.", 
"A Pittsburgh win gets the Steelers a first-round bye and Antonio Brown the extra week off that he needed.", 
"James Harrison went unclaimed, Per source.", 
"Jaguars’  WR Jaelen Strong announced he tore his ACL in this Instagram post. https://t.co/RLMbU2Rb8Y", 
"Steelers can clinch a first-round bye with a victory over the Texans on Christmas.", 
"Bills’ backup RB Travaris Cadet suffered a dislocated ankle today, per source.", 
"Giants TE Evan Engram will not return today due to a rib injury.", 
"Initial exam on Titans RB DeMarco Murray’s knee revealed an LCL sprain, per source, and he will undergo an MRI on Monday to confirm.", 
"What do people think? https://t.co/0yPiCaLg8z", 
"And the Cleveland Browns are, officially, on the clock.", 
"Week 16 Playoff Clinchings so far today, via @RLiuNFL:\n\nNFC\nLAR: NFC West\nNO: Playoff berth\nCAR: Playoff berth\n\nAFC\nKC: AFC West\nJAX: AFC South", 
"Rams clinch first NFC West title since 2003.", 
"Washington RB Samaje Perine questionable to return with Achilles injury.", 
"Dolphins RB Damien Williams is inactive, Miami WR DeVante Parker is active.", 
"Washington RB Samaje Perine is active today vs Broncos.", 
"As expected, Saints’ WR Michael Thomas officially active today vs Falcons.", 
"Browns are giving UCLA QB Josh Rosen pause, as he would prefer to play for the NY Giants, per sources.\n\nhttps://t.co/utbtn5lOel", 
"Antonio Brown not expected to be ready if Steelers must play wild-card weekend:\n\nhttps://t.co/Vf0fshdLXY", 
"Teams complaining to NFL that Packers violated IR rule, and think Aaron Rodgers should now have to be released, per sources:\n\nhttps://t.co/Zyt0fWjJFe", 
"Big day for the Browns: Cleveland can clinch the No. 1 overall pick for the second straight year, either with a loss to the Bears or a Giants win over the Cardinals.\n\nBrowns almost on the clock...", 
"Drew Brees and Matt Ryan will face off against each other today for the 19th time, which trails only Jim Kelly vs Dan Marino, who met 21 times.", 
"Patriots’ RB James White (ankle) and WR Chris Hogan (shoulder), both listed as questionable, are not expected to play Sunday against the Bills, per sources.", 
"Washington WR Jamison Crowder, listed as questionable with a hamstring injury, is expected to play Sunday against the Broncos, per source.", 
"49ers’ TE Garrett Celek, questionable with a knee and rib injury, is expected to play Sunday vs. Jaguars, per source.", 
"Buccaneers’ TE Cameron Brate, questionable with a hip and knee injury, is expected to play Sunday vs Panthers, per source.", 
"Panthers’ WR Devin Funchess, questionable with a shoulder injury, is expected to play Sunday vs. Bucs, per source.", 
"Cardinals’ RB Kerwynn Williams, questionable with a quad injury, is expected to play Sunday against the Giants, per source.", 
"Jets’ RBs Matt Forte (knee) and Elijah McGuire (illness), both listed as questionable, are both expected to play Sunday against Chargers, per source.", 
"Saints’ WR Michael Thomas, added to injury report Saturday as questionable due to hamstring injury, is expected to play Sunday vs. Falcons, per source.", 
"Vikings’ left guard Nick Easton fractured his right ankle.", 
"Vikings now with 12 wins, starring straight at NFC’s No. 1 or No. 2 seed. Minnesota might not have to play another road game the rest of the season.", 
"And on it goes for the Colts.... https://t.co/VwzKQIowbK", 
"Green Bay Packers inactives tonight vs Vikings:\n\n17 WR Davante Adams\n23 CB Damarious Randall\n52 LB Clay Matthews\n53 LB Nick Perry\n54 C Dillon Day\n73 G Jahri Evans\n77 G/T Adam Pankey", 
"Broncos’ QB Brock Osweiler is likely to start Sunday vs Washington, per league source.", 
"Another Texas state championship for the Jones family:\n\nhttps://t.co/S1PCiXcXpg", 
"Jadeveon Clowney fills trash cans from Jacksonville with toys and gives them away:\n\nhttps://t.co/cQng3KBnl6", 
"Police respond to situation at Lambeau Field:\n\nhttps://t.co/i1zN6Ojat7", 
"A huge thank you to @JohnnieWalkerUS for helping out with the Johnnie Walker Black Label holiday gifting - the time of year for some holiday cheer.\n#KeepWalking https://t.co/cFWlz7RQzy", 
"Beloved broadcaster Dick Enberg died at age 82.\n\nhttps://t.co/t4C4o6F2Fu", 
"It is so relaxing to have no Thursday night fantasy worries, @jimcramer.", 
"Washington RB Samaje Perine injured his groin today and did not finish practice.", 
"In recent weeks; ESPN has sent Herm Edwards to Arizona State and Aaron Boone to the New York Yankees.\n\nPlenty of precedent for the NY Giants interviewing Louis Riddick today for their GM job.", 
"Chicago Bears tried out former Tiffin DE/OLB Willie Mays today. No word on his outfield skills.", 
"Jaguars’ fans now shipping trash cans to Texans’ Jadeveon Clowney over his comments on Blake Bortles:\n\nhttps://t.co/7oI1R2np1f", 
"Giants announced they interviewed ESPN analyst Louis Riddick for their GM today.", 
"NFL head of officials Al Riveron said he has told referees not to use folded note cards on first-down measurements, as happened Sunday night in Cowboys-Raiders game.", 
"Joint statement from NFL and NFLPA on Seahawks being fined $100,000 for violating concussion protocol with Russell Wilson: https://t.co/ftla486Hvt", 
"Seattle has been fined $100,000 and the coaching and medical staffs will be required to attend remedial training regarding the protocol for concussion protocol violation.", 
"Starting the right players is critical with the @ESPNFantasy Football Championships among us. Make informed decisions with this player comparison tool from @IBMWatson. #ad\n\nhttps://t.co/wUeZovTTw3 https://t.co/OwJKpcdUlB", 
"Falcons’ RB Telvin Coleman is out of concussion protocol according to Dan Quinn.", 
"No surprise, but Packers now have ruled out WR Davante Adams from Saturday’s game vs Vikings.", 
"A sidebar to Greg Zuerlein being out for year: He is the 3rd most popular player on ESPN Fantasy Finalists’ rosters at 36.9%. Only players more widely rostered are Alvin Kamara and Todd Gurley.", 
"49ers HC Kyle Shanahan on the Jacksonville Jaguars: “They have as much qualities as anyone that it takes to win a Super Bowl; a top defense, a very good running game, a good offense, good special teams.”", 
"Surprise setback for Super Bowl contender: Rams kicker Greg Zuerlein - aka “Legatron” - is being placed on IR with a back injury and team is signing former Penn St kicker Sam Ficken, per source.", 
"Reggie Jackson on his romantic relationship with Jeanie Buss, his thoughts on Colin Kaepernick and Jerry Richardson, and his failed attempts at becoming an MLB owner:\n\nhttps://t.co/hXlVdk5zwo", 
"Giants interviewed former Panthers GM Dave Gettleman for their GM job today.", 
"#KnowThemFromAdam\n\nBaseball Hall of Famer Reggie Jackson discusses his hopes for his beloved Pittsburgh Steelers, Herm Edwards at ASU, and more.\n\nhttps://t.co/hXlVdk5zwo", 
"Panthers LB Thomas Davis' suspension reduced to one game upon appeal.", 
"Packers placed Aaron Rodgers on IR; he’s done for the season.", 
"Steelers signed veteran RB Stevan Ridley.", 
"Bucs’ RB Doug Martin is inactive tonight.", 
